Customer Number,Customer Name,Document Number,Document Type,Document Date,Sales Amount,Original Trx Amount
1000001,Hawler Drug Store,SINV-0000033849,Sales / Invoices,4/5/2021,"1,240.00000","1,240.00000"
1000001,Hawler Drug Store,SINV-0000033923,Sales / Invoices,4/6/2021,0.00000,0.00000
1000001,Hawler Drug Store,SINV-0000034002,Sales / Invoices,4/7/2021,"1,800.00000","1,800.00000"
1000001,Hawler Drug Store,SINV-0000034059,Sales / Invoices,4/8/2021,142.00000,142.00000
1000001,Hawler Drug Store,SINV-0000034088,Sales / Invoices,4/10/2021,445.00000,445.00000
1000001,Hawler Drug Store,SINV-0000034607,Sales / Invoices,4/25/2021,0.00000,0.00000
1000001,Hawler Drug Store,SINV-0000034614,Sales / Invoices,4/25/2021,"1,148.00000","1,148.00000"
1000001,Hawler Drug Store,SINV-0000034646,Sales / Invoices,4/26/2021,476.60000,476.60000
1000001,Hawler Drug Store,SINV-0000034776,Sales / Invoices,4/29/2021,0.00000,0.00000
1000001,Hawler Drug Store,SINV-0000034792,Sales / Invoices,5/2/2021,225.00000,225.00000
1000001,Hawler Drug Store,SINV-0000035057,Sales / Invoices,5/9/2021,"1,800.00000","1,800.00000"
1000001,Hawler Drug Store,SINV-0000035058,Sales / Invoices,5/9/2021,900.00000,900.00000
1000001,Hawler Drug Store,SINV-0000035266,Sales / Invoices,5/17/2021,600.00000,600.00000
1000001,Hawler Drug Store,SINV-0000035385,Sales / Invoices,5/18/2021,255.00000,255.00000
1000001,Hawler Drug Store,SINV-0000035602,Sales / Invoices,5/22/2021,600.00000,600.00000
1000001,Hawler Drug Store,SINV-0000035666,Sales / Invoices,5/23/2021,222.50000,222.50000
1000001,Hawler Drug Store,SINV-0000035737,Sales / Invoices,5/24/2021,56.80000,56.80000
1000001,Hawler Drug Store,SINV-0000035738,Sales / Invoices,5/24/2021,"1,170.00000","1,170.00000"
1000001,Hawler Drug Store,SINV-0000036117,Sales / Invoices,6/1/2021,"2,941.50000","2,941.50000"
1000001,Hawler Drug Store,SINV-0000036375,Sales / Invoices,6/6/2021,0.00000,0.00000
1000001,Hawler Drug Store,SINV-0000036392,Sales / Invoices,6/6/2021,0.00000,0.00000
1000001,Hawler Drug Store,SINV-0000036661,Sales / Invoices,6/12/2021,550.00000,550.00000
1000001,Hawler Drug Store,SINV-0000036704,Sales / Invoices,6/13/2021,"1,800.00000","1,800.00000"
1000001,Hawler Drug Store,SINV-0000036783,Sales / Invoices,6/14/2021,187.50000,187.50000
1000001,Hawler Drug Store,SINV-0000037037,Sales / Invoices,6/19/2021,445.00000,445.00000
1000001,Hawler Drug Store,SINV-0000037545,Sales / Invoices,7/3/2021,600.00000,600.00000
1000001,Hawler Drug Store,SINV-0000037772,Sales / Invoices,7/6/2021,646.00000,646.00000
1000001,Hawler Drug Store,SINV-0000038089,Sales / Invoices,7/14/2021,0.00000,0.00000
